"The person clasps his hands.",Slow down the hand clasping,"The person slowly clasps his hands."
"The person clasps his hands.",Extend the clapping duration.,"The person clasps his hands for a longer duration."
"A person walks forward, bends down to pick something up off the ground.",Let the person walk backward.,"A person walks backward, bends down to pick something up off the ground."
"A person walks forward, bends down to pick something up off the ground.",Make the upper body face right,"A person walks forward with the upper body facing right, bends down to pick something up off the ground."
A person kicks down with their left leg.,Change the left leg to right leg,A person kicks with their right leg.
A person kicks down with their left leg.,Kick a little higher,A person kicks high with their left leg.
A person turns to his right and paces back and forth.,Stand a while before the turn,A person stand for a while and then turns to his right and paces back and forth.
A person turns to his right and paces back and forth.,Remove the turn action,A person paces back and forth.
"A person walks forward, bends down doing something.",Picking a box off the ground.,"A person walks forward, bends down picking a box off the ground."
"A person walks forward, bends down doing something.",Bends down stroking the dog,"A person walks forward, bends down stroking the dog."
The person walks to the door.,Make the person walk gracefully,The person walks gracefully to the door.
The person walks to the door.,Walk like an old man,The person walks like an old man to the door.

